                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91768,                0.94917,                      1,                      1,              0.0002352,              0.0002352,              0.0002352
                      2,                0.13669,                0.97144,                      1,                0.95401,             0.00042635,             0.00042635,             0.00042635
                      3,                  0.085,                0.98115,                      1,                0.94258,             0.00057038,             0.00057038,             0.00057038
                      4,                0.07616,                0.98344,                      1,                0.92832,             0.00050194,             0.00050194,             0.00050194
                      5,                0.05308,                0.99029,                      1,                0.92277,             0.00050194,             0.00050194,             0.00050194
                      6,                0.03646,                0.98858,                      1,                0.92143,             0.00043126,             0.00043126,             0.00043126
                      7,                 0.0519,                0.99486,                      1,                0.91513,             0.00036057,             0.00036057,             0.00036057
                      8,                0.03037,                0.99714,                      1,                0.91187,             0.00028988,             0.00028988,             0.00028988
                      9,                0.02979,                0.99886,                      1,                0.91035,              0.0002192,              0.0002192,              0.0002192
                     10,                0.02891,                0.99886,                      1,                0.90943,             0.00014851,             0.00014851,             0.00014851
